input,output
大圣变小和尚，干净整洁，眉清目秀，行动斯文，开口清新，穿着整洁，走上前去向唐僧问道：“师父，我变的好吗？”,好大圣，捻着诀，摇身一变，变做个干干净净的小和尚几，真个是目秀眉清，头圆脸正，行动有斯文之气象，开口无俗类之言辞，抖一抖锦衣直裰，拽步上前，向唐僧道：“师父，我可变得好么？”
在进行讨论的时候，突然看到城门外有一片沙滩空地，聚集了许多和尚，他们正在那里推着车辆。,正议间，只见那城门外，有一块沙滩空地，攒簇了许多和尚，在那里扯车儿哩。
这次前来主要是传递经意，离开时并没有留下任何遗憾。,今来多为传经意，此去原无落点瑕。
旁侧二老怪问道：“哥哥，你说呢？”,二老怪在旁问道：“哥哥怎么说？”
在崖前，草丛茂盛；岭上，梅花香气扑鼻。,崖前草秀，岭上梅香。
那家伙竟然变身为老君。,那呆子还变做老君。
沙僧说：“师父让我来帮助功绩。”,沙僧道：“师父叫我来帮帮功的。”
小龙感激地磕头，表示会听从菩萨的命令。,这小龙叩头谢活命之恩，听从菩萨使唤。
他再次吹口仙气，对着铁棒喊道：“变！”,他又把铁棒吹口仙气，叫“变！”
行者听了话，解开绳索，一起走出后门，来到石崖旁，成功通过了陡涧。,行者依言，也解了绳索，一同带出后门，睮上石崖，过了陡涧。
师徒们把马拴在一边，都来到殿前相见。,师徒们将马拴住，都上殿来相见。
伯钦说：“我也做了一个梦，和你一样。我们一起去和母亲说这件事吧。”,伯钦道：“我也是那等一梦，与你一般。我们起去对母亲说去。”
沙僧问道：“难道是因为吃了凉水导致身体不适吗？”,沙僧道：“想是吃冷水了？”
在佛教中，常常有这样一句话：在无法之门中，有着深奥的法术，可以将一切魔障击退，让人识得天道。,诚所谓：不二门中法奥玄，诸魔战退识人天。
行者说：“我们在东边的清水河吃的。”,行者道：“是在此东边清水河吃的。”
近侍官迅速拿来了几个鹦鹉杯、鸬鹚杓、金叵罗、银凿落、玻璃盏、水晶盆、蓬莱碗、琥珀锺，满满地倒满了玉液，连着琼浆一起喝下，每个人都喝了一口。,近侍官连忙取几个鹦鹉杯、鸬鹚杓、金叵罗、银凿落、玻璃盏、水晶盆、蓬莱碗、琥珀锺，满斟玉液，连注琼浆，果然都各饮一巡。
三藏说道：“院主，请你不要怀疑，认为我师徒三人有什么邪恶意图。今天早上穿过黑松林时，我意外发现一名女子被绑在树上。我的徒弟孙悟空起初不愿意帮助她，但我心中涌起同情之心，决定出手相助，将他解救下来。随后，我让他在这里跟随你，以便他能够好好休息。”,三藏道：“院主，你不要生疑，说我师徒们有甚邪意。早间打黑松林过，撞见这个女子绑在树上。小徒孙悟空不肯救他，是我发菩提心，将他救了，到此随院主送他那里睡去。”
那条路上没有人家，还有很多狼虎，要走过去需要很长时间，不要当成好玩的事情。,那路上没有人家，又多狼虎，非一日可到，莫当耍子。
你怎么确定老爷是中途改行的？,你怎么就晓得老爷是半路出家的？
"""你也是来这里看看的，看看我的山景怎么样。"" 那呆子不敢推辞，只好跟着他走。",“你也是到此一场，看看我的山景何如。”那呆子不敢苦辞，只得随他走走。
阴司回转，不提鬼使。,鬼使回转阴司不题。
赤脚大仙接着说道：“昨日接到王母的邀请，在赴会途中遇到了齐天大圣，他告诉我万岁有旨，让我先去通明殿演礼，然后才去赴会。我按照他的指示返回通明殿外，却不见万岁的龙车凤辇，于是急忙来到这里等候。”,只见那赤脚大仙又俯囟上奏道：“臣蒙王母诏昨日赴会，偶遇齐天大圣，对臣言万岁有旨，着他邀臣等先赴通明殿演礼，方去赴会。臣依他言语，即返至通明殿外，不见万岁龙车凤辇，又急来此俟候。”
那个引路人带着唐僧来到了三层门内，这里与外面完全不同，可以看到：用青砖建造的彩云墙，绿色瓦片铺成的琉璃殿。,那道人引定唐僧，直至三层门里看处，比外边甚是不同，但见那：青砖砌就彩云墙，绿瓦盖成琉璃殿。
无法改变，无法接受？,变不过来，奈何？
那李天王和三太子带领着众将，最终抵达了灵霄殿。,却说那李天王与三太子领着众将，直至灵霄殿。
八戒笑着说：“兄弟别哭了，这猴子假装要死了，吓我们呢。你摸摸他胸口还有没有热度？”,八戒笑道：“兄弟莫哭，这猴子佯推死，吓我们哩。你摸他摸，胸前还有一点热气没有？”
我老孙有本事，问谁敢动阎王的心思？,我老孙自有个本事，问道‘那个阎王敢起心？
沙僧放下行囊，骑上白马，手持宝杖，迅速加入战斗。,沙僧撇了行李白马，举宝杖，急急帮攻。
婴儿的性别取决于阴阳平衡，铅和汞的结合能够创造出日月。,婴儿姹女配阴阳，铅汞相投分日月。
没有精进善佛。,南无精进善佛。
有两个妃子，她们清理净桶时发现了许多秽污和痰涎，其中还有一团糯米饭。,有两个妃子，将净桶捡看，说不尽那秽污痰涎，内有糯米饭块一团。
猴王说：“你家靠近神仙，为什么不向他学习修行？学到永葆青春的方法呢？这岂非妙哉？”,猴王道：“你家既与神仙相邻，何不从他修行？学得个不老之方？却不是好？”
太师说：“我到了驿站，见到了御弟，然后立即告知了求亲的事。御弟拒绝了，幸好他的大徒弟同意了，愿意留下来当我和王的丈夫，面向南方称帝。只需要倒换关文，送他们三西去，取得经回，回到这里拜认父母，然后讨钱回大唐。”,太师道：“臣等到驿，拜见御弟毕，即备言求亲之事。御弟还有推托之辞，幸亏他大徒弟慨然见允，愿留他师父与我王为夫，面南称帝，只教先倒换关文，打发他三人西去；取得经回，好到此拜认爷娘，讨盘费回大唐也。”
那二圣接到旨意，直奔灵山胜境，来到雷音宝刹前，向四金刚和八菩萨行礼完毕，随即请他们转达。,那二圣得了旨，径到灵山胜境，雷音宝刹之前，对四金刚、八菩萨礼毕，即烦转达。
行者说：“没有水，你躲在旁边，我去打听打听。”,行者道：“既无水，你再藏隐在左右，待老孙去打听打听。”
行者大声喝道：“恶贼！你是从何而来？竟敢知晓我的名号？你究竟有何能耐，如实招来，或许可免去你的性命！”,行者喝一声道：“泼怪！你是那里来的邪魔？怎么知道我老孙的名号？你有甚么本事，实实供来，饶你性命！”
八戒说：“好，好。”,八戒道：“妙啊！妙啊！”
行者听到这话，弯腰鞠躬，身高超过两丈，然后用手擦去身上的灰尘，说道：“师父，请看。”,行者闻言，把腰儿躬一躬，长了二丈余高，用手展去灰尘道：“师父，请看。”
他们俩分别踩着云彩的光芒，迅速跳上九霄云朵之间。,他两个各踏云光，跳斗上九霄云内。
他一口气喝了七八杯，全都是他一个人喝光的。,一连咽了七八锺，都是他接吃了。
在毒敌山前三面受阻，琵琶洞外充满冷漠。,毒敌山前三不让，琵琶洞外两无情。
符使道下令：“直接送到通明殿上，交给天师，再传给玉皇大天尊。”,符使道：“直送至通明殿上，与天师传递到玉皇大天尊前。”
他突然出现在九霄云中，睁开双眼，环顾四周，寻找着魔王的身影。,他原来跳在九霄云里，睁眼四望，看那魔王哩。
上半部分洁白如雪，下半部分深靛如青，这是经过漫长岁月洗礼的结果。上半部分被雨水淋湿而变白，下半部分则展现出泥土的气息，散发着铜青的光泽。,上半截如雪之白，下半截如靛之青，原来是日久年深，上边被雨淋白，下边是土气上的铜青。
行者说：“只需要三天的工夫。”,行者道：“只消三日。”
那条龙伸出利爪准备袭击。,那条龙张牙舞爪来抓。
如果有人心怀恶意，命令多人把你割掉肉来做香袋，那我们怎么可能得到公正的回报呢？,倘或意恶心毒，喝令多人割了你肉，做甚么香袋啊，我等岂有善报？
花飞花，泉涌泉。三教合一，万法归一。,天花乱坠，地涌金莲。妙演三乘教，精微万法全。
那怪惊慌失措，施展金蝉脱壳之计，突然间一个打滚，展现出真实的形态，原来是一只凶猛的虎。,那怪慌了手脚，使个金蝉脱壳计，打个滚，现了原身，依然是一只猛虎。
在孕育着仙胞的一日，突然间迸裂出一颗石卵，宛如一个巨大的圆球。,内育仙胞，一日迸裂，产一石卵，似圆球样大。
唐王刚刚睁开眼睛说道：“我刚才经历了巨大的痛苦，躲过了阴间的恶鬼，又遭遇了水面的危险。”,”唐王方才开眼道：“朕适才好苦，躲过阴司恶鬼难，又遭水面丧身灾。
传说柿树有七大神奇之处：一能使人延年益寿，二能提供阴凉，三没有鸟巢，四没有害虫，五霜叶色彩缤纷可观赏，六果实美味，七枝叶肥厚壮实，因此得名七绝山。,古云柿树有七绝：一益寿，二多阴，三无鸟巢，四无虫，五霜叶可玩，六嘉实，七枝叶肥大，故名七绝山。
诗中写道：在这片锦绣的场域中，人们欢唱着彩色的莲花，在这片太平的境内，人群熙熙攘攘。,有诗为证，诗曰：锦绣场中唱彩莲，太平境内簇人烟。
大圣追上，准备举棒打，怪说：“别打，是我！”,这大圣赶上，就欲举棒来打，那怪道：“徒弟莫打，是我！”
鬼王回奏的事情不在这里讨论。,鬼王回奏不题。
让阿傩、迦叶把各自献上的东西收起来，然后朝着玉帝的方向感谢他的宴请。,叫阿傩、迦叶，将各所献之物，一一收起，方向玉帝前谢宴。
八戒对行者说：“师兄，这个果子给你了，汤饭等美食要让我也尝尝。”,八戒向行者道：“师兄，果子让你，汤饭等须请让我受用受用。”
把净瓶倒过来，水哗啦啦地流出来，像雷声一样响亮。,遂把净瓶扳倒，唿喇喇倾出水来，就如雷响。
那怪问沙僧：“他是谁？”,那怪朝沙僧道：“此位是谁？”
云儿说：“看那霜姿，常为宿禽之王，四绝堂前，大器乃扬。”,”云：“霜姿常喜宿禽王，四绝堂前大器扬。
国王高兴地离开了，和驸马一起走进了宫殿。,国王喜之不尽，即同驸马进宫而去。
在那个时候，老妖手下的猱狮、雪狮、狻猊、白泽、伏狸和抟象的子孙们，每个人都手持着锋利的武器，黄狮领着他们，一起放出狂风，直接冲向豹头山界。,当时老妖点猱狮、雪狮、狻猊、白泽、伏狸、抟象诸孙，各执锋利器械，黄狮引领，各纵狂风，径至豹头山界。
在深林中聚集着成千上百只鹰，而在古老的洞穴中，一只麒麟却能统领着无数野兽。,深林鹰凤聚千禽，古洞麒麟辖万兽。
在河边翩翩起舞的是双条银蟒，而岸上冲天的是一对神谱。,双条银蟒河边舞，一对神谱岸上冲。
唐僧注定不会死，因为有护法神灵保护着他，空中还有六丁六甲、五方揭谛、四值功曹、一十八位护教伽蓝，帮助八戒和沙僧。,只为唐僧命不该死，暗中有那护法神祇保着他，空中又有那六丁六甲、五方揭谛、四值功曹、一十八位护教伽蓝，助着八戒沙僧。
八戒说：“这两个孩子已经被你抓来了，吓得胆战心惊。现在他们哭得眼泪都流出来了，很快就会死的。我们把他推下去，变成一堆肉泥，那怪即使想要放过他，也来不及了。我们两个都要为他偿命。你也不算是个干净的人吧？连个见证都没有你，你也不是我们中的一员吗？”,八戒道：“这两个孩子，被你抓来，已此唬破胆了，这一会声都哭哑，再一会必死无疑。我们拿他往下一掼，掼做个肉糰子，那怪赶上肯放？定要我两个偿命。你却还不是个干净人？连见证也没你，你却不是左我们？”
从未听说过有人吃了人心肝就能长寿。,从来也不见吃人心肝，可以延寿。
罗刹说道：“叔叔，这里有扇子，快来拿走吧！”,罗刹道：“叔叔，有扇！有扇！你出来拿了去！”
八戒高兴地说：“终于可以吃饭了。”,八戒喜道：“这一日也该吃饭了。”
今日已完成修行，得以成佛。已洗净昔日尘封的记忆。,今朝行满方成佛，洗净当年六六尘。
不一会，家家户户都熄了火，忙着收拾好住的地方，各自找到了栖身之所。,少时间，收了家火，又都去安排窝铺，各各安身。
行者笑着说：“你听师父说的话。你想吃素，我去化缘，俗话说一日为师，终身为父，怎么能让弟子坐着，让师父去化斋呢？”,行者笑道：“你看师父说的是那里话。你要吃斋，我自去化，俗语云一日为师，终身为父，岂有为弟子者高坐，教师父去化斋之理？”
松柏苍翠，古色古香，无与伦比。,苍颜松柏老，秀色古今无。
老君问：“菩萨拿什么武器来帮助他？”,老君道：“菩萨将甚兵器？怎能助他？”
自古以来，江山易主，数代更迭，成败皆为历史。,诗曰：万古江山几变更，历来数代败和成。
在漫长的旅途中，不见行人的踪影，只有夜幕下归来的船只缓缓驶入。,长途不见行人迹，万里归舟入夜时。
在池水中，鱼儿依偎在密藻旁；野鸟眷恋着干枯的树枝。,池鱼偎密藻，野鸟恋枯槎。
只听一阵阵呼呼吼吼的声音，一群小妖纷纷露出真面目：原来是山上的牛精、水中的牛精、黄色的牛精，四处乱窜。,只听得呼呼吼吼，喘喘呵呵，众小妖都现了本身：原来是那山牛精、水牛精、黄牛精，满山乱跑。
龙子龙孙献上了香茶。,当时龙子龙孙即捧香茶来献。
在十万大军中，无人能与他匹敌。,十万军中无敌手．
他吃东西的能力让人生疑。,但不知他怎的样吃哩？
刘全道说：“我献上瓜果，穿过鬼门关，来到森罗殿，见到了十代阎君。我把瓜果递给他，并表达了我王的感谢之意。阎君很高兴，对我王说：‘你真是个有诚信的太宗皇帝！’”,刘全道：“臣顶瓜果，径至鬼门关，引上森罗殿，见了那十代阎君，将瓜果奉上，备言我王殷勤致谢之意。阎君甚喜，多多拜上我王道：‘真是个有信有德的太宗皇帝’！”
这一战很激烈：女怪很强大，猴王很英勇。,这一场怎见得好战：女怪威风长，猴王气概兴。
第二天一早，才刚刚刷洗完马匹，整理好行囊，便准备出发。,次早方刷扮了马匹，包裹了行囊出门。
火无情，却有人故意为之，非但没有消除灾祸，反而加剧了事态。,正是那无情火发，怎禁这有意行凶，不去弭灾，反行助虐。
老君说：“这瓶是个磁器，只要打中他的身体就会有效；但如果打不中他的头，或者撞上他的铁棒，就会碎掉吧？你先别动手，等我来帮帮他。”,老君道：“你这瓶是个磁器，准打着他便好；如打不着他的头，或撞着他的铁棒，却不打碎了？你且莫动手，等我老君助他一功。”
三藏朝西域，劳碌奔波。,气昂昂，劳碌碌，多因三藏朝西域。
那位老母亲化作一束金色光芒，回到东方。,那老母化一道金光，回东而去。
小妖开心地说：“这太棒了！这么好的宝贝，不交换就太可惜了，就像养了个不孝子一样！”,小妖笑道：“妙啊！妙啊！这样好宝贝，若不换啊，诚为不是养家的儿子！”
这位道士果然具备非凡的能力！,这道士果然有本事！
“女主急忙问道：“光禄寺是否已经安排好了筵席？”,”女主急问：“光禄寺安排筵宴完否？
"""师父，这酒应该由你来品尝，但君王却赐给了我，我不敢 disobey。就让老猪先享用一下，增加一些乐趣，以便更好地对付妖怪。""",“师父，这酒本该从你饮起，但君王赐我，不敢违背，让老猪先吃了，助助兴头，好捉妖怪。”
两位行者飞云般飞奔，雾气中穿行，向西天飞去。,看那两个行者，飞云奔雾，打上西天。
官将迅速下达命令，将三千人马全部派出去驻扎在门外。,那驾上官将，急传令，将三千人马，都出门外住札。
行者说：“你被强盗踢死了。这里是阴司地藏王菩萨的地盘，我老孙来带你回阳间，让你明白发生了什么。如果菩萨放你回来，还会延长你的阳寿一纪。十二年后，你再来吧。”,行者道：“你被强盗踢死。此乃阴司地藏王菩萨之处，我老孙特来取你到阳世间，对明此事，既蒙菩萨放回，又延你阳寿一纪，待十二年之后，你再来也。”
听到这番话，小妖们纷纷惊慌失措，灵魂飞散。行者接着说道：“诸位，唐僧的肉并不算重，也轮不到我们分，让我们替他顶这个缸吧！”,”那些小妖闻得此言，一个个心惊胆战，魂散魄飞。行者又道：“列位，那唐僧的肉也不多几斤，也分不到我处，我们替他顶这个缸怎的！
整夜都被他缠住，我连衣服都没来得及脱，就躺在床上。,他把我缠了半夜，我衣不解带，身未沾床。
巨大的蟒蛇在城市中游走，长长的蛇占据着道路。,千尺大蟒围城走，万丈长蛇占路程。
驯猴为师，猴心似猿，教之以秉，猴却妄自尊大，妄想欺天，弄假成真。,驯猴秉教作心猿，泼怪欺天弄假象。
那怪物毫不示弱，紧咬牙关，与八戒展开激烈对抗。,那怪那肯容情，咬定牙齿，与八戒交锋。
穿着随意，进出都像是个工作狂。,赤脚蓬头，出入尽皆作业鬼。
"行者原本会七十二种变化，无论是变成飞禽、走兽、花木、器皿还是昆虫，他都能灵活变换身体，就连滚带跑；然而要变成人形，他却只能改变头和脸，身体却无法完全变形，果然 still is yellow, still has two red ass-cheeks and a tail。",原来行者有七十二般变化，若是变飞禽、走兽、花木、器皿、昆虫之类，却就连身子滚去了；但变人物，却只是头脸变了，身子变不过来，果然一身黄毛，两块红股，一条尾巴。
灯烟半壁闪烁，雾中香霭一行。,半壁灯烟光闪灼，一行香霭雾朦胧。
小妖管家说：“洞里还有三件宝物。”,管家的小妖道：“洞中还有三件宝贝哩。”
土地说：“大圣性子急，小神不敢怠慢，怕惹怒您，所以偷偷告诉您。”,土地道：“大圣性急，小神不敢造次，恐犯威颜，故此隐象告知。”
二魔说：“哥哥，别害怕。宝贝都在我手里，等我从葫芦里拿出来，把他装进去。”,二魔道：“哥哥，怕他怎的？宝贝都在我手里，等我拿那葫芦出去，把他装将来。”
三藏问：“这獐鹿是不是养得太好了？”,三藏道：“这獐鹿想是太保养家了的？”
当他听我说的时候，他就相信了。,见时肯将我的言语说与他，他便信了。
行者说：“用棍子做信号吧。”,行者道：“我将棍子为号罢。”
"""来了，"" 毫毛说道。",毫毛道：“来了。”
沙僧认出道：“师父，那是四大金刚、金头揭谛、六甲六丁、护教伽蓝和过往众神。牵牛的是哪吒三太子，拿镜的是托塔李天王，大师兄手持芭蕉扇，二师兄和土地随后，其他都是护卫神兵。”,沙僧认得道：“师父啊，那是四大金刚、金头揭谛、六甲六丁、护教伽蓝与过往众神。牵牛的是哪吒三太子，拿镜的是托塔李天王，大师兄执着芭蕉扇，二师兄并土地随后，其余的都是护卫神兵。”
四位将军和一群猴子喝了几碗椰酒，然后安心入睡，不再提起。,四将与众猴将椰酒吃了几碗，安心睡觉不题。
在黄昏时分，一轮明月悄然升起，环绕着城墙缓缓而行，耳畔传来谯楼上擂动的鼓声。,此时正黄昏，看看月上，到城边，闻得谯楼上擂鼓。
依从众官的决定，不出示榜单。,众官遵依出榜不题。
行者笑着说：“这老头被坑怕了。我们不是坏人，快请老人来吧。”,行者笑道：“这老儿被人赖怕了。我等不是那样人，快请长者去。”
寿星听到这话，立刻释放出寒光，大声喝道：“恶徒！赶快显出真面目，或许还能免你一死！”,寿星闻言，即把寒光放出，喝道：“孽畜！快现本相，饶你死罪！”
一人一姓，终归正统；待得荣迁仙籍，列名箓中。,贯通一姓身归本，只待荣迁仙录箓名。
三藏、行者、沙僧醒来时，发现东方已经泛起了微白的光芒。,却说三藏、行者、沙僧一觉睡醒，不觉的东方发白。
行者说：“只有风起浪，水才会平静。”,”行者道：“有风方起浪，无潮水自平。
女子说：“我父母没有依靠，所以我请你保护我，养活我。江湖上都说你是个好汉，原来你是个怕老婆的软弱男人！”,女子道：“我因父母无依，招你护身养命。江湖中说你是条好汉，你原来是个惧内的庸夫！”
老人们说：“那座庙已经被拆掉了。老爷，这座寺庙自从建立以来，每年都丰收，每季都繁荣，这是老爷的庇佑。”,众老道：“那庙当年拆了。老爷，这寺自建立之后，年年成熟，岁岁丰登，却是老爷之福庇。”
老人说：“是的，没错。”,老者道：“正是！正是！”
他和师父一起查看，发现了一座石崖，上面写着木仙庵三个字。,他三人同师父看处，只见一座石崖，崖上有木仙庵三字。
这次离开，不知何时才能回来，这次离开，难以预料何时才能回来。,此去不知何日返，这回难量几时还。
菩萨说道：“你曾经担任弼马温的官职，在大闹天宫时，神将们都能认出你，你可以上界去辨别真伪，然后回来回答。”,菩萨道：“你当年官拜弼马温，大闹天宫时，神将皆认得你，你且上界去分辨回话。”
三藏问：“这个东西在哪里？它去哪了？”三藏说：“往哪边去了，我不清楚，但说到诗的地方，就在附近。”,“此物在于何处？才往那方去了？”三藏道：“去向之方，不知何所，但只谈诗之处，去此不远。”
找到门破损的地方，知道是行者走出了，没有追上，补好门，守家业。,又找寻行者，但见几层门尽皆破损，情知是行者打破走了，也不去追赶，将破门补的补，遮的遮，固守家业不题。
行者听到这番话，眼泪情不自禁地流了下来，对着功曹说：“我现在真是愧疚上天宫，羞于面对海藏！害怕询问菩萨的真相，忧虑见到如来的玉象！刚才失去的，是真武师的龟、蛇、五龙圣众。现在我该怎么办，难道没有方法可以求救了吗？”,行者闻言及此，不觉对功曹滴泪道：“我如今愧上天宫，羞临海藏！怕问菩萨之原由，愁见如来之玉象！才拿去者，乃真武师相之龟、蛇、五龙圣众。教我再无方求救，奈何？”
二神道：“大圣从来就没师父，原来是个不服天不服地的混元上真，怎么可能有个师父的马？”,二神道：“大圣自来不曾有师父，原来是个不伏天不伏地混元上真，如何得有甚么师父的马来？”
"""菩萨问道：你要去哪里？""",菩萨道：“你辞我往那里去？”
八戒说：“可以了，希望你能帮助一下。”,”八戒道：“也罢也罢，望你带挈带挈。
音阶高低起伏，和谐悦耳。,宫商角徵羽，抑扬高下齐。
圆满功绩，白日飞升。,功完行满，白日飞升。
老妖飞上天空，提供帮助。,老妖又驾云，起在半空助力。
当天带领着46名上界人员去聆听，留下来看家的只有两名绝小的人：一位是清风，另一位是明月。,当日带领四十六个上界去听讲，留下两个绝小的看家：一个唤做清风，一个唤做明月。
老人说：“他只舍得一条命，我们也只是得到一些钱和粮食而已。”,老者道：“他也只舍得一命，我们又使彀闷数钱粮。”
这是天王的住所，名为云楼宫。,原来是天王住宅，号云楼宫。
大天尊召集群文人武仙卿，问道：“这妖猴是何时诞生的，属于何代，为何如此有道？”,大天尊宣众文武仙卿，问曰：“这妖猴是几年生育，何代出生，却就这般有道？”
完成了祭祀天地之礼，夫妻俩完成了交拜仪式，接着又向岳丈岳母致敬。,拜了天地，夫妻交拜毕，又拜了岳丈岳母。
妖精见娘娘站在那里，恭敬地请示，不敢推辞，于是告诉众妖要小心火烛，防止偷盗，然后与娘娘一起走向后宫。,妖精见娘娘侍立敬请，不敢坚辞，只得吩咐群妖，各要小心火烛，谨防盗贼，遂与娘娘径往后宫。
在那个季节，了解根源，就能发现龙王三宝。,那时节，识破源流，便见龙王三宝。
在金谷园，富丽堂皇的景观令人叹为观止，而《辋川图》却透露出悠然的风情。,金谷园富丽休夸，《辋川图》流风慢说。
那里只是一堆粉色的骷髅。,却是一堆粉骷髅在那里。
就如同一座山一样，石头是它的骨骼，泥土则是它的精髓。,正是那：山以石为骨，石作土之精。
国王说：“既然你听说了，赶紧说出前后有关贼人的事情。”,国王道：“既知人言，快早说前后做贼之事。”
老妪说：“长老远道而来，请大家保重自己，不必客气。”,老妪道：“长老远客，各请自珍，不劳拜罢。”
诸天降临，拥护着一切；众圣相助，挥舞着利剑。,诸天来拥护，众圣助干戈。
就像是这样：挣脱了烟花迷雾的束缚，却又陷入了风月迷人的诱惑中。,正是：脱得烟花网，又遇风月魔。
三藏和本庄老者一起走出沙僧，然后一起回到舍内。,三藏即与本庄老者同沙僧出门接着，同至舍内。
行者笑着说：“别发誓了，如果你真的想去西天取经，我带你去吧。”,行者笑道：“莫发誓，既有真心往西天取经，老孙带你去罢。”
在无法言说的时候，夕阳已经西下，长老端起筷子，口中默念着斋经。,说不了，日将中矣，长老在上举箸，念揭斋经。
三藏抚摸着他的肩膀说道：“要谨慎！我们要不认识他，也不认识他，暂时和他在一起一下又何妨？”,三藏捻他一把道：“谨言！谨言！我们不与他相识，又不认亲，左右暂时一会，管他怎的？”
我们是向东土出发去西天取经的，我的师父是唐王的弟弟，刚刚入朝去倒换关文。,我们是东土差往西天取经的，我师父乃唐王御弟法师，却才入朝，倒换关文去了。
国王扶着近侍小宦，艰难地从龙床上下来，弯腰迎接，长老匆忙起身，站在一旁。,那国王即扶着近侍小宦，挣下龙床，躬身迎接，慌得那长老急起身，侧立于旁。
煎炒石花菜，黄花菜金黄诱人；炒扁豆角和豇豆角，加入熟酱调味。,石花菜、黄花菜，青油煎炒；扁豆角、豇豆角，熟酱调成。
浩浩荡荡，辽阔无垠，十里外都能听到那万丈洪涛的声音。,洋洋浩浩，漠漠茫茫，十里遥闻万丈洪。
几个和尚害怕地说：“爷爷，怎么知道是妖精抓走了？”,”那几个和尚害怕道：“爷爷，怎见得是妖精摄去？
三藏说：“先别给水喝，等我的徒弟找到塔里的宝物，才能好好庆祝一下。”,三藏道：“且不须赐饮，着小徒归了塔中之宝，方可饮宴。”
这江流思行者真是命苦，遇到困难的神僧想悟能。他喊道：“徒弟啊，不知道你在哪座山捉怪，在哪里降妖，我被魔头捉住了，受到毒害，什么时候才能再见到你？太苦了！如果你们早点来，或许还能救我；但如果太迟了，就无法保住了！”,这的是苦命江流思行者，遇难神僧想悟能，道声：“徒弟啊！不知你在那山擒怪，何处降妖，我却被魔头拿来，遭此毒害，几时再得相见？好苦啊！你们若早些儿来，还救得我命；若十分迟了，断然不能保矣！”
行者高兴地说：“最好！别犹豫，赶紧行动。”,行者大喜道：“最好！最好！不必迟疑，趁早行事。”
老道士听到这话后，立刻喊道：“拿灯过来！看看是什么奇怪的东西？”,老道士闻言即叫：“掌灯来！看是甚么邪物？”
背诵口诀好处多，放下邪念享清凉。,口诀记来多有益，屏除邪欲得清凉。
师传法，行者转下身，对唐僧行礼道：“请尊师恕弟子之罪。当年在两界山蒙师父大德救脱弟子，秉教沙门，一向西来。渡水登山，竭尽心力。今遇佛国之乡，幸遇贤王三子，投拜我等，欲学武艺。彼既为我等之徒弟，即为我师之徒孙也。谨禀过我师，庶好传授。”,拜毕请师传法，行者转下身来，对唐僧行礼道：“告尊师，恕弟子之罪。自当年在两界山蒙师父大德救脱弟子，秉教沙门，一向西来，虽不曾重报师恩，却也曾渡水登山，竭尽心力。今来佛国之乡，幸遇贤王三子，投拜我等，欲学武艺。彼既为我等之徒弟，即为我师之徒孙也。谨禀过我师，庶好传授。”
