用户名,文本,情感,立场,话题,观点,敌意,领域
赖清德,"强烈台风「康芮」即将登陆，这个十月台行进速度较快、影响时间集中、挟带狂风暴雨，绝对不能轻忽。
目前，全国各地的水电、国军、警消、海巡、防救灾人员、以及工程人员，都坚守岗位。我要特别感谢大家的努力和付出，也请务必注意自身安全。
上午，我和 卓荣泰 院长、 郑丽君 副院长也前往中央灾害应变中心听取简报、和地方政府进行视讯会议。中央灾害应变中心充分发挥功能，各县市政府团队也都将应变灾害当作第一要务，我感谢中央及地方各单位充分合作，每一位同仁的辛苦参与，因应这次台风来袭，相较前几次台风，有五项进步：
第一，中央和地方都充分发挥「离灾优先于防灾、防灾优先于救灾」的精神，进行各项应变灾害的工作。
第二，数发部因应地方政府的需求，在各县市都至少部署了一具低轨道卫星，确保通讯不中断。
第三，内政部 #刘世芳 部长带领的中央灾害应变中心，针对嘉义、花莲近期的地震，将预警撤离的雨量标准下修，并提前预警，代表了因应当前的情势来做应变措施。
第四，过去国军全力协助灾防工作，这次 #顾立雄 部长和辛苦的国军，更以国防部一级开设的最高标准，全力配合和支援地方政府的灾防工作，获得地方政府的肯定，我也要感谢国军的投入。
第五，谢谢慈济等民间救灾单位参与中央灾害应变中心的运作，希望这个模式可以持续，加强公私协力，更有效因应台湾各项天灾地变。
我也希望，全体国人配合避灾，不要在台风期间从事观浪等危险行为。中央和地方灾害应变中心，除了做好离灾、防灾、救灾，也要兼顾灾后复建工作。同时，各项灾损补助工作，要秉持「从优、从宽、从速」的原则，来协助受灾民众，让国家社会都可以尽速恢复日常。",恐惧,无,台风康芮应对措施,赖清德强调台风应变合作重要,无敌意,社会
赖清德,"??强台「康芮」已发布陆上台风警报
请国人务必做好防台准备！
「康芮」台风来势汹汹，暴风半径仍略有增长，预估从今天下午开始、到后天对台湾影响最为剧烈。中央气象署已在今天凌晨发布陆上台风警报，我要请东半部、南部及北部的国人朋友，严加戒备。
因应台风来袭，中央灾害应变中心已经一级开设，卓荣泰 院长也在昨天前往气象署，了解台风资讯，指示各项应变准备。政府各部会会做好各项因应措施，并与地方政府保持联系，了解防台整备状况，一起将可能造成的影响降到最低。
这次的台风移动快速，并会带来强风豪雨，请大家在台风影响期间，避免前往山区与海域活动，留意自身安全，并随时关注台风最新资讯。",恐惧,无,台风康芮来袭台湾预警,赖清德呼吁国人做好防台准备,无敌意,社会
赖清德,"感谢职能治疗师重建希望，点亮生命的光芒！
职能治疗师不只是治疗者，更是心理上的陪伴者。在人口高龄化与长照需求之下，我们要打造「健康台湾」，职治师的角色也非常重要。
我们希望借由呼应10月27日「世界职能治疗师日」，进而彰显职能治疗师的贡献。目前，全国已经有超过8千名领有职能治疗人员证书的专业工作者。在这个专属于职能治疗师的日子，我要感谢所有职治师的辛苦奉献。
在患者复健的过程中，需要职治师耐心与家属沟通，将复健的概念融入生活里。举凡重新学会吃饭、穿衣、步行等看似微小的进展，对患者和家属来说，都是巨大的成就。
「医学为生命增添岁月，复健为岁月增添生命」，这是复健医学的真谛，也对我影响很深。卫福部已经积极推动将职治师纳入长照制度，让职治师可以走入社区，帮助更多人，恢复日常的独立生活。
再次谢谢职治师们，以「每一位患者都有可能取得进步」的信念，持续陪伴患者与家属，让复健的过程充满希望、在挑战中看见光明，也让台湾的医疗体系更加完善、进步与稳固。",自豪,无,职能治疗师的重要性,赖清德感谢职能治疗师的贡献,无敌意,社会
赖清德,"两年一度的「全民运动会」在屏东热闹开幕。今天雨势很大，选手们都展现出不怕风雨的运动精神，相信经由风雨洗礼，今年运动会的成绩一定更胜以往！
「全民运动会」的精神是运动生活化、运动全民化。这届的比赛种类是「全民运动会」史上最多，达到33种。参赛者有奥运游泳选手王冠闳、亚运滑轮溜冰金牌得主李孟竹；还有高龄92岁的木球选手杨格，以及年仅6岁的舞蹈运动选手施乔涵。
很高兴看到全民跃跃欲试、热烈参与，让「全民运动会」成为一场运动的嘉年华，也非常感谢 周春米 县长和县府团队的用心筹办，积极推广全民运动的风气。
我的背景是医疗，我是运动迷，也是棒球迷，所以我一直提倡全民运动，希望国人一生当中，至少可以拥有一项喜欢的运动；不管是小朋友、壮年人，或是银发长辈，人人都可以培养运动习惯，享受运动的乐趣和好处。
行政院筹设的「运动部」，相关法案已经送立法院审议。这个全新的机关，目标就是「以运动壮大台湾」。
未来运动部将致力推广全民运动、落实运动多元平权，促进运动产业的多元发展，以及培育更多人才、扩大运动科学的研究应用。
未来，我们一起努力，让年轻人都有机会在场上圆梦，让各种运动都可以在台湾蔚为风气，成为民众生活的一部分！",自豪,无,全民运动会开幕与推广,赖清德倡导全民运动壮大台湾,无敌意,文化
赖清德,"总统是自由民主宪政的守护者，针对立法院修法内容有违宪疑虑，混淆宪法关于权力分立及监督制衡的规定，身为总统，我有责任守护宪政秩序、保护人民权利，因此声请释宪。
今天，宪法法庭已经就《立法院职权行使法》部分条文，以及《中华民国刑法》第141条之1规定释宪案，作成判决。我们尊重宪法法庭的判决结果，也期待有关部门依判决意旨，维护国家宪政体制与人民基本权利。
我也愿意依照宪法法庭最新判决意旨，并在立法院朝野党团具共识前提下，就总统的宪法职权，赴立法院进行国情报告，在国家最高立法机关，向全体国人报告国家发展情势。
过去这段时间，《立法院职权行使法》及《中华民国刑法》从修法到释宪的过程中，社会上有许多讨论与辩证，如今宪法法庭已经作成判决。我期盼，朝野各政党能够共同携手，守护自由民主宪政体制，为国家永续发展，以及人民权利福祉共同努力，让台湾的民主更深化、更具韧性。",自豪,无,总统对宪法释宪案的回应,赖清德强调总统须守护宪政秩序,无敌意,政治
赖清德,"古宁头是军事胜利的象征，更代表我们保家卫国的决心：台澎金马，寸土不让，坚定守护家园。
在古宁头战役满75年的这一天，我除了到金门太武山公墓，代表全体国人向舍身护国的忠灵，致上最深的敬意，也在午宴上代表国家，向当年的参战前辈与眷属、以及前金门自卫队参战代表，表达诚挚的感谢。
古宁头战役是国军保卫台海和平的第一场胜仗，奠定了往后安定的基础，中华民国得以在台澎金马落地生根75年。当年，参战前辈们不分先来后到、不分族群，共同保卫台澎金马、捍卫中华民国、为国家主权、民主自由而奋战。这场胜利告诉我们，只要团结一心，就能对抗威胁；只要坚定信念，就必定能够守护家园。
古宁头战役让我们明白，民主自由并非理所当然，而是需要世世代代的人共同努力守护。我们珍惜民主自由的生活方式，不能、也不会让任何外部势力，改变台澎金马的未来。
我要强调，我们捍卫国家主权的决心、维持台海和平稳定现状的努力、希望两岸对等尊严，健康有序对话交流的承诺、以及世世代代守护民主自由生活的坚持，都未曾改变、也坚持不变。
今天有许多参战前辈来到现场，非常感谢他们当年出生入死，保家卫国，至今也关心国家发展。借此机会，我也特别感谢国军弟兄姊妹，不分昼夜，坚守岗位，捍卫海疆、守护领空、保卫国土，像是金门在地的金防部官士兵和海巡同仁，在第一线因应各种灰色地带侵扰，都非常辛劳。
身为三军统帅，我会坚定做国军的后盾，持续提升军备与服役环境，强化国防战力，也会跟更多全球民主伙伴深化合作，肩并肩发挥吓阻力量，共同维护区域和世界的民主、和平与繁荣。
我们会坚定团结一心、继续向前，捍卫民主、捍卫自由、捍卫国家。",自豪,对中国大陆表达了敌对,古宁头战役及其历史意义,赖清德强调坚定捍卫国家主权,有敌意,军事
赖清德,"团结力量，共同打造足以应对挑战并与国际接轨的强韧台湾
不久前来袭的「山陀儿」台风，是有纪录以来第一个在10月于高雄登陆的热带气旋，更测得17级以上阵风。如何因应气候变迁的冲击，是国家韧性及永续发展重大的考验。 
今天总统府国家气候变迁对策委员会召开第二次会议，在所有委员的多元讨论、集思广益下，不仅有多个结论，相信也能更有效率地加速推动台湾的净零碳排。
现在，全球都面临越来越严峻的气候变迁挑战。2015年的《巴黎协定》，要求各国每五年必须更新一次的「国家自主贡献（NDC）」，在2021年的COP26，已经要求每两年更新一次，而世界各国下一轮NDC 的更新，时间就在明年的年初。
台湾身为全球技术供应链的重要角色，有必要加大气候行动，来提升产业的国际竞争力，加速接轨国际NDC的步伐。除了要检视2030年的目标，我们要有更大的企图心突破瓶颈，重新设定2032年和2035年更加积极的减碳新目标。
我们也在今天的会议设下目标，将在明年1月，也就是下次的会议，提出台湾2032年的减碳新目标，来进一步凝聚共识。
最好的能源就是节能，因为当我们多节约一分能源，就可以多减一分碳。因此，公部门要以身作则，除了成立「永续长联盟」，也要积极促进公营事业导入能源技术服务（ESCO），加快国内的节能进程，由上而下展现决心；同时更要鼓励全民参与节能，共同为国家的永续发展来努力。
明年台湾即将开征碳费，这是迈向净零具体的一步。我们的战略方向非常清晰，就是要推动「第二次能源转型」，确保能源供应的稳定与韧性。除了发展多元绿能来开源，更要推动深度节能、储能技术的应用，促进下一代产业的转型和发展，强化台湾因应气候变迁的调适机制，寻求永续的绿色成长机会，稳健迈向2050净零排放的目标。
当前，全世界都面对极端气候与减碳的挑战，但我相信，透过这个委员会的群策群力，对外和世界各国持续加强合作，对内由公部门与各行各业一起行动，全民同心协力，就能落实创新转型改变，迎来台湾世代永续成长的机会。",自豪,无,台湾应对气候变迁与减碳策略,赖清德强调团结应对气候挑战,无敌意,政治
赖清德,"要达到2050净零转型，路径固然很多，但是有一个最基本的，就是节能。国际能源总署（IEA），也将节能，视为迈向净零和能源转型的首要策略。 
现在，不只有工厂要节能，各行各业都要节能，我出身医界，非常关心医院的节能成果。今天，我到林口长庚医院，看到院方在深度节能与智慧能源管理，不仅运用「能源技术服务（ESCO）」，优化照明和空调等设施，更导入智慧控制技术，大幅减少能源使用，为国内医疗体系，树立了良好典范。 
目前，经济部也积极推动ESCO，我们希望运用台湾庞大的资金，不论是金融业或保险业，能够投注在国家发展政策上。其中也包括，协助各行各业进行节能工作，让所使用的设备能源效率能够提升，或是建立一套节能的体系。
长庚医疗体系是医界的模范生、领头羊，今年，林口长庚医院不只在「国际医院联盟奖」的评选中，获得了「卓越医院奖」最高荣誉金奖肯定，也得到经济部节能标竿奖的金奖。
我特别感谢林口长庚医院响应政府的号召，也希望，全台湾不分公私立医疗院所，能够学习长庚医疗体系的经验，在节能方面持续精进，携手迈向净零、永续的未来。",自豪,无,医院节能与智慧能源管理,赖清德强调节能是净零转型的基本路径,无敌意,社会
赖清德,"感谢所有在幕前、幕后辛勤打拚奋斗的影视人、广播人与内容创作者！
#金钟59 在今晚圆满落幕，从广播、节目到戏剧，台湾的传播产业逐渐深化，内容也越来越多元。
政府也与产业界携手合作，持续辅导和奖励创新的内容创作，让好的点子与想法，可以有成长的机会。让 #台流 成为世界的潮流，是接下来我们要一起努力的方向。
社会剧《八尺门的辩护人》，一共抱回7个奖项，成为本届大赢家，以美丽岛事件为背景的《盐水大饭店》也荣获迷你剧集（电视电影）导演奖。
台上一分钟、台下十年功，国人熟悉且连两天获奖的苗可丽、与许效舜、澎恰恰，长期耕耘幕前，这届都获得综艺节目主持人奖肯定。
台湾拥有的自然美景，透过镜头和编剧的捕捉，成为精采动人的节目。昨晚，旅游实境节目《上山下海过一夜之极岛台湾》获得益智及实境节目奖、 #程纪皓 导演执导的《群山之岛与不去会死的他们2 》荣获人文纪实节目奖跟节目摄影奖、节目类声音设计奖，都是最好的证明。
在上周落幕的广播金钟奖，也持续创新，在今年开始纳入早已在大家身边、陪伴大家的Podcast，让这个奖项更包容、也更贴近你我的生活。
恭喜所有得奖人，以及所有在幕前幕后为理想、为传播媒体产业付出的每一位朋友。自由的土地会激发更多的创意，民主的空间可以包容多元的想法。生活在这座岛屿上，我们会持续期待，更多令人赞不绝口的好内容不断产出！
照片来源：金钟奖",自豪,无,台湾金钟奖颁奖典礼及获奖情况,赖清德感谢影视广播内容创作者,无敌意,文化
赖清德,"台湾这艘民主方舟，以和平为灯塔、民主为指南针；自由、法治、人权为旗帜；文化、生态永续为船身，科技为动力。每一位台湾人民都是这艘民主方舟的领航者，我们团结合作，航向世界，迎向未来。
总统府全新常设展《民主方舟：台湾永续前行》今天起开放参观！我也抢先帮大家开箱，展览非常丰富，包括台湾的自然生态、科技发展、公民运动、美景直播等不同面向；具有跨领域、跨时代、跨宇宙三大特色，其中，第一次AI应用出现在总统府的展览，生成各种「如果没有台湾」的多重宇宙，大家一定要来亲自感受！
从2000年开始，总统府开始开放非假日时段给民众参观，蔡英文 Tsai Ing-wen前总统上任后，更举办常设展，让大家可以更了解民主的意涵。因为民主就是人民作主，总统府除了是总统、副总统办公的地点，更属于全体国民，每个人都可以走进这栋建筑，了解台湾迈向民主的过程。
全新的常设展能够顺利完成，我要感谢文化总会、内政部、经济部、交通部、农业部、文化部、工研院，以及所有投入的伙伴和同仁。文化部也策划了《超！台！漫！——漫画里的台湾百味》特展，呈现台湾漫画丰沛、多元的创意。
我要邀请大家一起来总统府参观，一起以民主与团结，引领国家继续前进。在展览的最后，还有拍贴机，大家要记得和我及 萧美琴 Bi-khim Hsiao 副总统合照，并上传到脸书、IG跟我分享喔！",自豪,无,台湾总统府民主方舟常设展,赖清德强调台湾以民主团结引领国家前进,无敌意,文化
赖清德,"我们的国军弟兄姊妹及海巡同仁，面对任何状况，都是24小时轮值、不分本外岛，在第一线坚守岗位，几天前因应中国军演，也都在最快的时间内，谨慎应处，顺利完成各项任务。
今天早上，我到空军作战指挥部、海军海锋机动中队，几位弟兄姊妹跟我分享执行任务的过程及心得，对于他们的机敏反应、高昂士气，我都给予高度肯定。
我也到海委会海巡署舰队分署，了解海巡同仁执行任务的情况，也和正在海上巡逻的成功舰同仁视讯，感谢他们的辛劳。
面对中国灰色地带的侵扰，海巡同仁都有积极、果决的应对态度，用生命守护每一寸海疆；尤其，海上治安复杂多变，海巡同仁担负起维护渔权、查缉走私、阻止偷渡、海上救援等任务，非常辛苦。
海巡、国军、国安等单位，都会保持密切的沟通合作，团结一致，发挥最大力量。因为我们保护国家主权的决心不变，维护海域国际自由航行的决心不变，安定社会、安定民心、保护渔权的决心也不会改变。
我要请国人同胞，一起感谢所有的国军弟兄姊妹及海巡同仁，谢谢他们为国家安全、社会安定所做的努力。政府也会持续推动各项国防改革，让国军弟兄姊妹及海巡同仁有更好的装备，能够更安全、也更有信心地守护国土、守护海疆。",自豪,对中国大陆表达了敌对,国军与海巡应对中国军演,赖清德肯定国军和海巡的坚守与努力,有敌意,军事
赖清德,"《民主方舟》扬帆前行！总统府常设展全新开幕！
总统府常设展《民主方舟：台湾永续前行》，将从10月19日（六）开始对外开放！
展览内容不只有台湾的多元生态、智慧科技发展，也能看见台湾人民争取民主自由的历程，将民主精神扎根于日常生活中。
除了有内容丰富的常设展，还有文化部主办的《超！台！漫！——漫画里的台湾百味》特展，汇集台湾当代漫画作品，漫画爱好者绝对不能错过。
民主时代，总统府是人民的总统府；每一位台湾人民都是民主方舟的领航者，我要邀请大家有空到总统府逛逛，感受台湾的民主精神与文化多样性！
【 民主方舟：台湾永续前行 】总统府一楼常设展资讯
展览地点｜总统府一楼展间
展览日期｜2024 / 10 / 19 - 2028
开放时段｜平日 09:00-12:00／假日配合每月总统府大开放日，详细资讯请上总统府官网查询。",自豪,对台湾表达了支持,台湾总统府常设展览开幕,赖清德称民主方舟展览展示台湾民主精神,无敌意,文化
赖清德,"10月17日是「台湾文化日」，在103年前，宜兰子弟蒋渭水先生和各界先进共同努力，成立了「台湾文化协会」，开始推动台湾文化的启蒙。
今天，我来到宜兰，参加「台湾民主寻踪书法展」开幕活动，立法院 游锡堃 前院长所创立的仰山文教基金会，在宜兰成立34年来，推动台湾本土文化，这次更完成以民主发展为主题的书法展。
不同于过去的书法展，所运用的字句多是君主政治时代中国所发生的故事，这场的展览是以台湾为主体，写出台湾几百年来每一代为台湾奋斗的美丽故事。
这场展览也是文化深化民主的最佳典范，我们看到，宜兰不仅是民主圣地，人才辈出、文风鼎盛的文化累积，更成为令人景仰的文化城市；而从蒋渭水先生等民主前辈的一脉相传，让台湾从专制独裁走向今日的民主成就，这些都是宜兰对台湾文化和民主的贡献。
未来，我们会努力让民主根植在文化当中，并让文化继续深化我们的民主。
我要邀请大家，一定要来宜兰欣赏「台湾民主寻踪书法展」，一起从台湾文化的艺术成就，认识台湾民主自由的故事。",自豪,对台湾文化表达了支持,台湾民主寻踪书法展,赖清德赞扬宜兰对台湾文化和民主的贡献,无敌意,文化
赖清德,"中央研究院南部院区今天开幕！这不只是台南的大喜事，更对台湾具有重大意义。今天我也回到台南，见证这个历史性的时刻。
十几年前，我在当立委的时候，拜访了当时的翁启惠院长，邀请中研院南部院区来到台南，提升南部的研究量能。后来，在我台南市长任内，因为台南拥有绿能等关键议题发展上的基础，以及规划院区坐落高铁特定区的交通优势，终于让中研院南部院区确定落脚台南。
在廖俊智院长的带领下，中研院南部院区的定位不是「分院」，而是另设一个「院区」；他今天也提及，希望借此达成北部院区无法实行的目标，譬如将全世界最先进的科技带到南台湾，除了连结在地，也要连结全世界。
现在，整个南部已经形成「大南方科技S廊带」，不论是台湾科技产业的发展、平衡南北的发展，中研院南部院区都扮演举足轻重的角色。尤其，未来我们推动台湾的发展，不只平衡南北，还有中部、东部，相信中研院南部院区将发挥「均衡台湾」的效益。
从推动、规划到正式开幕，中研院南部院区走了十几年，今天我带著感恩的心出席开幕仪式，感谢在这个过程中给予协助的人。从翁启惠前院长、廖俊智院长，蔡英文 Tsai Ing-wen前总统及陈建仁 Chen Chien-Jen前副总统，以及台南市黄伟哲市长和市府团队、在地的立委和议员们，都一棒接一棒，让我们在台南打造了世界级的研究重镇。
今天我也在现场，聆听中研院研究员说明他们的研究成果，无论是人文社会科学、环境变迁、关键议题，或是绿能、量子科技、农业生技等，各项研究都看到重大成果与前瞻性。让我们一起期待，中研院发挥南部院区的精神，找到各项复杂议题的解方，带动台湾未来的发展。",自豪,无,中研院南部院区开幕及其意义,赖清德称中研院南部院区对台湾意义重大,无敌意,文化
赖清德,"致力维护台海和平稳定，希望两岸对等尊严、健康有序对话交流，这是我们一贯的坚持和不变的态度。
今天，中国宣布在台海周边从事军演，我和国安团队已经召开会议，对于共军动态，我们在第一时间都有全面掌握，行政院会注意相关民生议题，维护社会安定，国军和海巡也在领海、领空坚守岗位，我要感谢所有同仁的辛劳。
我在上周四的国庆演说表达，台湾愿意和中国在防疫等面向合作，追求和平共荣，为两岸人民带来福祉，也希望中国回应国际社会的期待，能够发挥影响力，和世界各国共同努力，结束俄乌战争和中东冲突，和台湾一起承担国际责任，对区域和全球的和平、安全与繁荣，做出贡献
中国发动军演意图破坏区域的和平稳定现状，持续以武力胁迫周遭国家，并不符合国际社会的期待。
面对外部威胁，我要请国人同胞放心，政府会持续捍卫民主自由的宪政体制，守护民主台湾、守护国家安全。",极端愤怒,对中国大陆表达了批判,台海局势与两岸关系,赖清德致力维护台海和平稳定,有敌意,政治
赖清德,"台湾和瓜地马拉，一路走来都为了追求自由、守护民主而努力不懈，也才让我们彼此的国家，有今日的蓬勃发展。
今天我在总统府，欢迎瓜地马拉贝娜多（Lucrecia Peinado）第一夫人在国庆期间率团来访，带来阿雷瓦洛（Bernardo Arévalo）总统的祝贺，彰显了两国的友好邦谊。在会谈中，贝娜多第一夫人以人为本、心系弱势族群的温暖和关怀，让我非常感动。
今年5月，我和阿雷瓦洛总统的视讯谈话中，都期待持续深化两国邦谊。多年来，台湾和瓜地马拉，在医疗卫生、农业技术，以及教育文化等领域，都有紧密的合作；今年启用的圣胡安希奥斯医院新生儿大楼，也是我们共同努力的成果，为当地人民带来更优质的医疗服务。
藉这个机会，我也感谢瓜地马拉政府及国会，对两国邦谊的重视和支持。面对国际情势的各项挑战，我相信，只要我们继续坚定信念、携手合作，就能共创和平、繁荣的未来。",自豪,对瓜地马拉表达了支持,台湾与瓜地马拉的友好邦谊,赖清德强调台瓜友好合作,无敌意,政治
赖清德,"感谢长辈们一生努力，为家庭、为国家打拚。今天是重阳节，我前往桃园八德拜访荣民之家，感谢荣民前辈为国家的奉献，也在 总统府 潘孟安 秘书长、桃园市 张善政 市长的陪同下，访视高龄103岁、五代同堂的 #叶徐秀英 女士。
桃园荣家是全国第二大的荣民之家，这几年陆续翻新康乐中心，也有智慧医疗跟远距照顾服务，是辅导会落实「医养合一」的重要基地，更是象征著政府对荣民前辈的照顾。
今年正逢八二三战役66周年、古宁头战役75周年，就像我昨天在国庆演说中提及的，一代又一代国人同胞，同舟共济、风雨同行，度过了一次又一次的挑战，我要感谢所有荣民前辈，不分先来后到、不分族群你我，一起团结守护台湾、为国家奉献付出。相信严德发主委带领的辅导会，也会继续全力照顾荣民前辈和眷属。
其中，让我非常感动的是， #宦德本 先生一生戎马，在离世时捐出毕生积蓄，协助桃园荣家翻新设施；而高龄111岁的 #孙国喜 前辈，在荣家的照顾下，身体更是健康硬朗、讲话中气十足。
未来，中央会和地方携手努力，提供更好的服务，让长辈们更加健康快乐。",自豪,无,重阳节拜访荣民之家活动,赖清德感谢荣民前辈为国家奉献,无敌意,社会
赖清德,"在重阳节这一天，我要祝福每一位长辈健康久久、平安久久。
台湾预估明年进入「超高龄社会」，各面向的照护与政策，更要持续完善；因此明年度的中央政府总预算，长照整体预算再创新高，达到927亿元。
政府会推动「长照3.0」，增加服务据点，提升服务内容和品质；提供家庭照顾者和长照机构更多的支持，也要让医疗结合社福，让长辈获得更好的照顾。
这些都是政府要和国人一起照顾珍贵的家人与长者的决心；让我们一起在重阳节，感谢长辈们为台湾社会付出的智慧和心血。",自豪,无,台湾长照政策与预算提升,政府推动长照3.0提升长者照护,无敌意,社会
赖清德,"国庆焰火是国庆一系列活动的压轴精采活动。国庆活动从晚会、到大会、到今晚的焰火能够顺利举办，我要感谢庆筹会主委 韩国瑜 院长、庆筹会、内政部刘世芳部长，大家的辛苦筹划。
今年是云林第一次举办国庆焰火，我也要感谢 张丽善 县长和县府团队做足准备，就是要向国人呈现最好的一面，不仅是史上最长的41分钟，也将霹雳布袋戏文化融入其中，让更多人认识云林、认识台湾。
很高兴看到云林，从苏治芬前县长开始的「农业首都」，李进勇前县长的传承，到张丽善县长手中扩大到今日的规模，非常不容易。
过去，蔡英文前总统很支持云林，我一样会支持云林，中央和地方一起合作，也请云林在地立委们多多帮忙，搭起跟中央的桥梁，共同努力，让云林更进步、有更好的生活！",自豪,无,国庆焰火活动及云林发展,赖清德感谢各方支持国庆活动,无敌意,文化
